id,asset_key,character,line,context,emotion,max_duration_s,variants
op1-2.p0.2,line.2115be87,Sister Ilse,Then seize it with the Tongs and pull it well clear.,The Barbed Shaft — phase 1,neutral,2.9,1
op1-2.p0.3,line.02e2dc61,Sister Ilse,Then drain and stitch the wound it leaves.,The Barbed Shaft — phase 1,neutral,2.4,1
op1-2.p1.1,line.e9fb7cb1,Sister Ilse,"The bolt in his thigh has no barbs. Tongs, and pull it straight out.",The Barbed Shaft — phase 2,neutral,3.7,1
op1-2.p1.2,line.d24cc680,Sister Ilse,"Quick, clean pulls earn the best marks.",The Barbed Shaft — phase 2,neutral,2.4,1
s1-3.002,line.ec96d949,Sister Ilse,"Doctor, the gunsmiths’ quarter. An apprentice was proving a new handgun barrel and it burst in his hands.",I · The Hospice — noon,neutral,7.8,1
s1-3.003,line.c12a720c,Sister Ilse,"Burns across the chest, lead driven under the skin — and a note from the Gunsmiths’ Guild pinned to his shirt.",I · The Hospice — noon,neutral,8.2,1
s1-3.004,line.be342c17,Sister Ilse,The Guild will pay for his care. Once we have paid the Guild’s fee for inspecting its own burst barrel.,I · The Hospice — noon,neutral,7.7,1
s1-3.005,line.96e13e67,Master Haller,Naturally. In Kessendorf a man pays the Guild for the privilege of being shot by its work.,I · The Hospice — noon,neutral,6.9,1
s1-3.006,line.71289176,Dr. Kreuzer,"Then we send the Guild a bill for the lead we take out of him. Itemised, by the ounce.",I · The Hospice — noon,neutral,6.6,1
s1-3.007,line.6f069806,Master Haller,"Powder burns. The black crust is dead meat: off with it before any salve, or it festers underneath.",I · The Hospice — noon,neutral,7.4,1
s1-3.008,line.7537d349,Master Haller,The shot is deep. You’ll open him along the line I’ve inked. And if his pulse flags — the tincture.,I · The Hospice — noon,neutral,7.4,1
op1-3.p0.1,line.a4178f73,Sister Ilse,His pulse is weak already. Hold the Tincture to the flesh to steady him if need be.,Powder Burns — phase 1,neutral,4.6,1
op1-3.p0.2,line.6d929375,Sister Ilse,"Burns first. Tongs to pluck the black eschar, then Saint’s Salve on the raw flesh.",Powder Burns — phase 1,neutral,4.5,1
op1-3.p1.1,line.4aa65a3a,Sister Ilse,Now open him along the inked line with the Lancet. Start at the glowing end.,Powder Burns — phase 2,neutral,4.2,1
op1-3.p2.1,line.6329085f,Sister Ilse,There — the shot. Pull each ball out with the Tongs.,Powder Burns — phase 3,neutral,2.9,1
op1-3.p3.1,line.33b341eb,Sister Ilse,Everything’s clear. Close the incision with the Gut Thread.,Powder Burns — phase 4,neutral,3.2,1
s1-4.002,line.f2501ef8,Sister Ilse,This one was found in the Tanners’ Rows. Swellings at the neck and groin. Fever. Maggots in an old sore.,I · The Hospice — dusk,neutral,7.8,1
s1-4.003,line.80f3c586,Matthis Kolb,"Matthis Kolb. Twenty years a tanner’s man. Write that, Sister, not “vagrant”. I had a trade before I had a fever.",I · The Hospice — dusk,neutral,8.3,1
s1-4.004,line.18b0aa55,Sister Ilse,"Matthis Kolb, tanner’s man. Written, and underlined.",I · The Hospice — dusk,neutral,4.4,1
s1-4.005,line.abbdc5a8,Master Haller,"Buboes, and a rotting sore. He’s slept in the Rows among the hides. Burn the grubs, Kreuzer — not the man.",I · The Hospice — dusk,neutral,7.9,1
s1-4.007,line.17f0ec91,Inquisitor Stroh,A plague case. In the city. How very interesting.,I · The Hospice — dusk,neutral,4.2,1
s1-4.008,line.5a10918b,Sister Ilse,…Inquisitor Stroh. Of the Ash Tribunal.,I · The Hospice — dusk,hesitant,3.5,1
s1-4.009,line.a90d4ecb,Inquisitor Stroh,"Carry on, Doctor. I only wish to watch. Pestilence so often has a sponsor — and I hear the Kilnrows are coughing too.",I · The Hospice — dusk,neutral,8.6,1
s1-4.010,line.e15268c6,Dr. Kreuzer,"Then stand back from the table, Inquisitor. Whoever sponsors it, it isn’t particular whom it takes.",I · The Hospice — dusk,neutral,7.4,1
op1-4.p0.1,line.446b9a77,Sister Ilse,Lance each bubo with a single touch of the Lancet before it bursts.,Pestilent Humours — phase 1,neutral,3.7,1
op1-4.p0.2,line.47c2084b,Sister Ilse,Then drain the pus and brush Saint’s Salve over it.,Pestilent Humours — phase 1,neutral,2.8,1
op1-4.p1.1,line.e35314fb,Sister Ilse,Grubs in the sore! The Cautery Brand — hold it on each one until it stops moving.,Pestilent Humours — phase 2,urgent,4.5,1
op1-4.p1.2,line.d12f2cc2,Sister Ilse,Don’t linger on bare flesh with the Cautery Brand.,Pestilent Humours — phase 2,neutral,2.8,1
op1-4.p2.1,line.d6bc701c,Sister Ilse,"The rot’s spreading. Saint’s Salve on every patch — quickly, it creeps back.",Pestilent Humours — phase 3,neutral,4.2,1
s1-5.002,line.2d3b24d2,Page-boy Emmerich,The choir… they’re singing in me… make them stop singing…,I · The Hospice — the small hours,hesitant,4.7,1
s1-5.003,line.5ee9e6b2,Sister Ilse,"Doctor, look at his chest. Those marks — they’re moving. That one is an eye, with a stroke drawn through it.",I · The Hospice — the small hours,neutral,8.0,1
s1-5.004,line.1f485fc1,Master Haller,…That is no disease. Those are sigils. Someone has written on this boy.,I · The Hospice — the small hours,hesitant,5.6,1
s1-5.005,line.7d6b1984,Dr. Kreuzer,"Then we unwrite him. The brand, Sister. And more light.",I · The Hospice — the small hours,neutral,4.6,1
s1-5.006,line.75f4c3cd,Master Haller,If something answers when you do — there is an old apothecary’s rite. The Litany of Stillness.,I · The Hospice — the small hours,neutral,7.1,1
s1-5.007,line.d353d42b,Master Haller,"Draw the five-pointed star and still your heart. For a few breaths, the world will wait for you.",I · The Hospice — the small hours,neutral,7.2,1
s1-5.008,line.21637c0a,Master Haller,Do not do it where the Inquisitor can see. The Tribunal does not distinguish between a prayer and a spell.,I · The Hospice — the small hours,neutral,7.9,1
op1-5.p0.1,line.63dc423e,Sister Ilse,Those sigils are draining him. Trace every stroke with the Cautery Brand to sear them.,The Hour of Matins — phase 1,neutral,4.7,1
op1-5.p1.1,line.c852d077,Sister Ilse,Something is moving beneath the skin. We have to open him. The Lancet — along the line.,The Hour of Matins — phase 2,neutral,4.8,1
op1-5.p2.1,line.2b81ecff,Sister Ilse,Saints preserve us… what is that?,The Hour of Matins — phase 3,questioning,2.4,1
op1-5.p2.2,line.aafc225f,Sister Ilse,"Doctor — if ever there were a time for the Litany, it is now. Draw the star.",The Hour of Matins — phase 3,neutral,4.2,1
op1-5.p3.1,line.b5f103a5,Sister Ilse,It’s gone. Tend the wounds it left.,The Hour of Matins — phase 4,neutral,2.4,1
op1-5.p4.1,line.33b341eb,Sister Ilse,Everything’s clear. Close the incision with the Gut Thread.,The Hour of Matins — phase 5,neutral,3.2,1
s1-end.002,line.35864fad,Sister Ilse,"Doctor… after it broke, a word was left seared into the flesh. Matins. And beside it, fading: the struck-through eye.",I · The Hospice — before dawn,hesitant,8.6,1
s1-end.003,line.d8a59159,Master Haller,The first of the canonical hours. The first prayer of the night.,I · The Hospice — before dawn,neutral,5.2,1
s1-end.004,line.9df17b30,Master Haller,"A curse that lives and fights like a beast, and signs itself like a psalm. A Malison.",I · The Hospice — before dawn,neutral,6.5,1
s1-end.005,line.1c75383d,Master Haller,"And if this was Matins… then somewhere, someone is already writing Lauds.",I · The Hospice — before dawn,hesitant,5.7,1
s1-end.007,line.3d673674,Inquisitor Stroh,"A remarkable recovery, Doctor. Remarkable.",I · The Hospice — before dawn,neutral,3.7,1
s1-end.008,line.8395e8e1,Inquisitor Stroh,"Tell me — at the end, your hands moved so very quickly. Almost as if time itself were… obliging you.",I · The Hospice — before dawn,hesitant,7.5,1
s1-end.009,line.37d9f403,Dr. Kreuzer,"Practice, Inquisitor. And the grace of Saint Ildra.",I · The Hospice — before dawn,neutral,4.3,1
s1-end.010,line.a48ae42c,Inquisitor Stroh,Of course. The grace of the Saint. I shall pray on it.,I · The Hospice — before dawn,neutral,4.5,1
s1-end.011,line.32535018,Inquisitor Stroh,"I watched every stroke. No tricks, no prayers. Only a surgeon, working. I find it almost disappointing.",I · The Hospice — before dawn,neutral,7.7,1
s1-end.012,line.7f0985dc,Dr. Kreuzer,"Surgery usually is, Inquisitor. That is how you know it worked.",I · The Hospice — before dawn,neutral,5.1,1
s2-1.004,line.0a362da5,Captain Mauer,"Don’t look at me like that, Doctor. The Inquisitor dines with the Burgomaster on Thursdays. On Fridays, the Burgomaster signs things.","II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,9.6,1
s2-1.005,line.83e89dc2,Sister Ilse,So Stroh can watch you somewhere with fewer witnesses.,"II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,4.5,1
s2-1.006,line.ee75fd88,Captain Mauer,"Fewer? Forty men in this camp, Sister. Forty witnesses. Forty-one with the cook, and I don’t count the cook.","II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",questioning,8.0,1
s2-1.007,line.f4f9f6cc,Sister Ilse,"You count everyone, Captain. You counted the mules.","II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,4.3,1
s2-1.008,line.048c8cb9,Captain Mauer,The mules keep better order. We clear the Grauwald of raiders before the spring caravans. Two scouts came back from the barrow-fields.,"II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,9.7,1
s2-1.009,line.39c9d365,Captain Mauer,Something followed them out.,"II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,2.8,1
s2-1.010,line.899d1cb8,Sister Ilse,A gravehound. Claw rakes across his back — and it has left its teeth in him.,"II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",neutral,5.9,1
s2-1.011,line.7aed64af,Dr. Kreuzer,"Corpse-eaters carry a venom in their spit. Tomas, isn’t it? Look at me, Tomas. You’ll keep the arm.","II · The Timber Road — the Watch’s muster camp, three leagues east of Kessendorf",questioning,7.4,1
op2-1.p0.1,line.e354a7fa,Sister Ilse,The venom first — hold the Tincture on the bite until it takes.,Gravehound — phase 1,neutral,3.5,1
op2-1.p0.2,line.7c54ab12,Sister Ilse,"The longer it spreads, the harder it drags on him.",Gravehound — phase 1,neutral,2.8,1
op2-1.p1.1,line.38cd0d59,Sister Ilse,Now the fangs. Tongs — pull each one clear.,Gravehound — phase 2,neutral,2.4,1
op2-1.p2.1,line.82aff8f0,Sister Ilse,Claw rakes. Three deep lines — drain and stitch each.,Gravehound — phase 3,neutral,2.9,1
op2-1.p2.2,line.108f36af,Sister Ilse,Grave-dirt in them too — Leech-Pipe it out before any Saint’s Salve.,Gravehound — phase 3,neutral,3.7,1
s2-2.001,line.1d7fc3fb,Orsa Flintvein,"Put me down, you long-legged oafs! I can walk! I can… mostly walk.",II · The muster camp — afternoon,urgent,5.3,1
s2-2.002,line.ae203e18,Captain Mauer,Dwarf prospector. Her crew was working a seam in the hills when it caved in.,II · The muster camp — afternoon,neutral,5.9,1
s2-2.003,line.7772afbe,Orsa Flintvein,"The rock went black, Doctor. Black as a wet eye, and it had a pulse. It sang when we struck it. Then it burst.",II · The muster camp — afternoon,neutral,8.2,1
s2-2.004,line.d346b8a3,Orsa Flintvein,"Took my lamp with it. So it’s glass in me as well as stone, and you’ll find both.",II · The muster camp — afternoon,neutral,6.3,1
s2-2.005,line.24675f29,Sister Ilse,"Mind her beard, Doctor. Every knot in it is tied for a debt.",II · The muster camp — afternoon,neutral,4.9,1
s2-2.006,line.ca100b03,Orsa Flintvein,"Nineteen knots. Nine are owed to me, ten I owe. If I die owing ten, my sons pay them, and my sons are idle.",II · The muster camp — afternoon,neutral,8.0,1
s2-2.007,line.87352a9b,Sister Ilse,There are shards under her skin I can’t see — but the flesh around them is spoiling.,II · The muster camp — afternoon,neutral,6.5,1
s2-2.008,line.2947f089,Sister Ilse,Master Haller sent his old Scrying Lens with me. He says you are to break anything else of his first.,II · The muster camp — afternoon,neutral,7.6,1
s2-2.009,line.a2593c49,Orsa Flintvein,"Dwarf hide’s thicker than yours, lad. You’ll want a strong arm on that thread.",II · The muster camp — afternoon,neutral,6.1,1
s2-2.010,line.049688fb,Dr. Kreuzer,"Hold still, Mistress Flintvein, and I’ll owe you a knot.",II · The muster camp — afternoon,neutral,4.6,1
op2-2.p0.1,line.40fca4c0,Sister Ilse,Rock splinters on the surface first. Tongs.,The Black Seam — phase 1,neutral,2.4,1
op2-2.p1.1,line.6ee6bb8c,Sister Ilse,"Now — the Scrying Lens. Pass it slowly over the flesh; where something hides, it shimmers.",The Black Seam — phase 2,neutral,5.0,1
op2-2.p1.2,line.bf0407b3,Sister Ilse,"Hold it still over the shimmer to bring the shard to light, then pull it.",The Black Seam — phase 2,neutral,4.0,1
op2-2.p2.1,line.3ba6237e,Sister Ilse,Clean up the spoiled flesh and any wounds left.,The Black Seam — phase 3,neutral,2.6,1
s2-3.002,line.0f6a9cd2,Captain Mauer,"Elf forager. Checked his snares by the old web-trees yesterday and never came back. We found him at dusk, wrapped like a midwinter ham.",II · The muster camp — nightfall,neutral,9.8,1
s2-3.003,line.da965a0d,Ilvaren,…the brood-mother… she kissed me… she was so gentle about it…,II · The muster camp — nightfall,hesitant,5.0,1
s2-3.004,line.7a208f87,Sister Ilse,"Elf skin, Doctor — thin as vellum. It cuts at a breath and bleeds like a spring.",II · The muster camp — nightfall,neutral,6.2,1
s2-3.005,line.3d63020f,Sister Ilse,"The foresters call the great web-spinners brood-mothers. Venom, spreading fast. And these lumps… Saints. She laid in him.",II · The muster camp — nightfall,hesitant,8.9,1
s2-3.006,line.c7e06ad9,Captain Mauer,My lads won’t fetch water past the web-trees now. They say a brood-mother remembers every face that has seen her.,II · The muster camp — nightfall,neutral,8.3,1
s2-3.007,line.3062e34b,Dr. Kreuzer,"Then fetch my water from somewhere she hasn’t looked, Captain. And more light.",II · The muster camp — nightfall,neutral,6.1,1
s2-3.008,line.4bead589,Sister Ilse,"The sacs are swelling, Doctor. If they hatch on their own, they’ll scatter.",II · The muster camp — nightfall,neutral,5.9,1
op2-3.p0.1,line.64833e06,Sister Ilse,Silk over the bites. Cut each strand with one stroke of the Lancet.,Brood-Mother’s Kiss — phase 1,neutral,3.7,1
op2-3.p1.1,line.6958a95f,Sister Ilse,"Venom from two bites. Tincture on each, quickly.",Brood-Mother’s Kiss — phase 2,neutral,2.6,1
op2-3.p2.1,line.bce94f0a,Sister Ilse,"The sacs — lance each with one touch, then sear the hatchlings with the Cautery Brand.",Brood-Mother’s Kiss — phase 3,neutral,4.7,1
op2-3.p2.2,line.cb936197,Sister Ilse,Mind the ones that are close to hatching.,Brood-Mother’s Kiss — phase 3,neutral,2.4,1
op2-3.p3.1,line.6995899e,Sister Ilse,Her brood-cluster — three sacs under one skin.,Brood-Mother’s Kiss — phase 4,neutral,2.5,1
op2-3.p3.2,line.d8bc52cc,Sister Ilse,"Cut the membrane right around them with the Lancet first, or they’ll wake as one.",Brood-Mother’s Kiss — phase 4,neutral,4.5,1
op2-3.p4.1,line.278a8d4e,Sister Ilse,"One more sac, deeper. Use the Scrying Lens to find it, then open it.",Brood-Mother’s Kiss — phase 5,neutral,3.7,1
op2-3.p4.2,line.311d6a5b,Sister Ilse,And he’s taken a fever-bubo from the bite — lance and cleanse it.,Brood-Mother’s Kiss — phase 5,neutral,3.6,1
s2-4.001,line.dc4c4fd2,Inquisitor Stroh,Doctor. I have brought you a gift.,II · The muster camp — before midnight,neutral,3.2,1
s2-4.003,line.bbe78c87,Inquisitor Stroh,"A lay-cantor of the Hollow Choir. We took him in the barrow-fields, singing to the dead. Something in the barrows sang back.",II · The muster camp — before midnight,neutral,9.1,1
s2-4.004,line.797ffa25,Inquisitor Stroh,"The moment he began to confess, those marks ignited. He also swallowed something. His masters would rather he burned than spoke.",II · The muster camp — before midnight,neutral,9.3,1
s2-4.005,line.8a3b594e,Inquisitor Stroh,"You will keep him alive, Doctor — and awake. I have questions, and the dead are poor at answering them.",II · The muster camp — before midnight,neutral,7.7,1
s2-4.006,line.43a2b8e1,Sister Ilse,"…He’s dying, Doctor. Whatever else he is, he’s a patient.",II · The muster camp — before midnight,hesitant,4.7,1
s2-4.008,line.06e75d10,Inquisitor Stroh,Poppy. So the Choir’s man sleeps soft while the city burns its sick. I shall remember whose mercy that was.,II · The muster camp — before midnight,neutral,8.0,1
s2-4.009,line.6c32ed41,Inquisitor Stroh,"Alive and awake. Good. We understand each other, Doctor — a rarer thing than you know.",II · The muster camp — before midnight,neutral,6.6,1
s2-4.010,line.11dd3553,Dr. Kreuzer,On the table. Now.,II · The muster camp — before midnight,neutral,2.2,1
op2-4.p0.1,line.4291b3af,Sister Ilse,"The poison he swallowed — Tincture, now, or he’s gone before we start.",The Silenced Cantor — phase 1,neutral,3.9,1
op2-4.p1.1,line.e3a7a166,Sister Ilse,Those sigils are burning him from within. Sear each one out — every stroke.,The Silenced Cantor — phase 2,neutral,4.1,1
op2-4.p2.1,line.c02d9a13,Sister Ilse,"There — a knot of it round his throat. Every time he hums, it ties itself again.",The Silenced Cantor — phase 3,neutral,4.4,1
op2-4.p2.2,line.34293e62,Sister Ilse,Burn it out between the verses.,The Silenced Cantor — phase 3,neutral,2.4,1
op2-4.p3.1,line.733890df,Sister Ilse,"The hexfire burns. Pluck the eschar, then Saint’s Salve on them.",The Silenced Cantor — phase 4,neutral,3.5,1
op2-4.p4.1,line.ff5e0e98,Sister Ilse,Maggots in an old sore — the Tribunal’s cells are filthy. Cautery Brand.,The Silenced Cantor — phase 5,neutral,4.0,1
op2-4.p5.1,line.2e9995c9,Sister Ilse,One more thing — the Scrying Lens. He swallowed something the Tribunal wasn’t to find.,The Silenced Cantor — phase 6,neutral,4.7,1
op2-4.p5.2,line.b29f9d30,Sister Ilse,"Open him along the line with the Lancet, then the Tongs.",The Silenced Cantor — phase 6,neutral,3.1,1
s2-5.001,line.8b9ae3d0,The cantor,Lauds… is sung at dawn… with the muster… under the banner…,II · The muster camp — dawn,hesitant,4.8,1
s2-5.002,line.8a029ff0,Captain Mauer,The dawn muster? That’s now—,II · The muster camp — dawn,questioning,2.8,1
s2-5.004,line.d7336cca,The first voice,Who keeps the watch before the sun?,II · The muster camp — dawn,questioning,3.3,1
s2-5.005,line.1fb77722,The answering voice,"The one who wakes, and wakes alone.",II · The muster camp — dawn,neutral,3.3,1
s2-5.006,line.2ed66b91,The first voice,Who sings the day when day is done?,II · The muster camp — dawn,questioning,3.3,1
s2-5.007,line.b059945d,The answering voice,"The one we answer, bone to bone.",II · The muster camp — dawn,neutral,3.1,1
s2-5.009,line.0ab95736,Sister Ilse,"Doctor! It’s Jorg — there are two of them in his chest, and each one answers the other!",II · The muster camp — dawn,urgent,6.7,1
s2-5.010,line.41565d23,Dr. Kreuzer,Clear a table. Sister — every instrument we have.,II · The muster camp — dawn,neutral,4.2,1
op2-5.p0.1,line.730fa433,Sister Ilse,"We have to open him — along the line, Doctor.",The Hour of Lauds — phase 1,neutral,2.5,1
op2-5.p1.1,line.3f20d18d,Sister Ilse,A choir! Those lights are its Voices — hold the Cautery Brand on each as it circles.,The Hour of Lauds — phase 2,urgent,4.6,1
op2-5.p1.2,line.18bb4172,Sister Ilse,Silence all of them and its heart will be bare.,The Hour of Lauds — phase 2,neutral,2.6,1
op2-5.p2.1,line.c8d012cc,Sister Ilse,It’s done. Tend what it left of him.,The Hour of Lauds — phase 3,neutral,2.4,1
op2-5.p3.1,line.db0252e3,Sister Ilse,Close him up. Gently — he has a banner to carry.,The Hour of Lauds — phase 4,neutral,2.6,1
s2-end.002,line.9de33789,Sister Ilse,"And beside it — Doctor, look. An eye with a stroke through it. The same mark the page-boy carried.",II · The muster camp — morning,neutral,7.4,1
s2-end.003,line.642f3f9f,Captain Mauer,"Two of them now. Matins in the city, Lauds in my own camp. Someone is keeping time, Doctor.",II · The muster camp — morning,neutral,6.9,1
s2-end.004,line.9ce99c67,Sister Ilse,Six more hours to the full Office. Prime. Terce. Sext. None. Vespers. Compline.,II · The muster camp — morning,neutral,6.1,1
s2-end.006,line.4f23154c,Inquisitor Stroh,Doctor Kreuzer.,II · The muster camp — morning,neutral,2.0,1
s2-end.007,line.f9320ea4,Inquisitor Stroh,"When that thing screamed, every candle in this tent stopped flickering. The flames stood still. For eight heartbeats.",II · The muster camp — morning,neutral,8.6,1
s2-end.008,line.25fc1cb4,Inquisitor Stroh,I counted.,II · The muster camp — morning,neutral,1.6,1
s2-end.009,line.0810462f,Dr. Kreuzer,"…The morning air is very still, Inquisitor.",II · The muster camp — morning,hesitant,3.8,1
s2-end.010,line.2e0de72c,Inquisitor Stroh,"I watched your hands while that thing screamed. They shook, Doctor. For once.",II · The muster camp — morning,neutral,6.0,1
s2-end.011,line.0a525fe3,Dr. Kreuzer,"It was a long night, Inquisitor.",II · The muster camp — morning,neutral,3.1,1
s2-end.012,line.d9ea2b60,Inquisitor Stroh,"We will speak at length, you and I. After Prime.",II · The muster camp — morning,neutral,4.1,1
bark.over-traction,line.2938b171,Sister Ilse,Ease off! You’ll tear the joint from its socket.,bark (surgery/disciplines.ts),urgent,2.6,1
bark.traction,line.6d1d517e,Sister Ilse,"Pull on the limb first — traction, or the ends grind.",bark (surgery/disciplines.ts),neutral,2.9,1
bark.overshoot,line.fbd1ee83,Sister Ilse,Stop at the end of the line — you’ve nicked him.,bark (surgery/entities.ts),neutral,2.6,1
bark.incision-layer,line.0b2ec76d,Sister Ilse,Through the skin. Now the layer beneath — trace it again.,bark (surgery/entities.ts),neutral,3.1,1
bark.stitch-gap,line.3f40de6b,Sister Ilse,There’s a gap in the suture — it’s still bleeding. Close it up.,bark (surgery/entities.ts),neutral,3.5,1
bark.stitch-first,line.1513988d,Sister Ilse,"It keeps filling — stitch the wound beneath it first, then drain.",bark (surgery/entities.ts),neutral,3.6,1
bark.pus-wound,line.13f68b5f,Sister Ilse,The pus is getting into that cut — drain it before it festers!,bark (surgery/entities.ts),urgent,3.4,1
bark.flooded,line.8b2f37f7,Sister Ilse,Too much blood — draw it off with the leech-pipe before you stitch!,bark (surgery/entities.ts),urgent,3.7,3
bark.salve-big,line.41957288,Sister Ilse,Salve won’t hold a wound that size. Stitch it first.,bark (surgery/entities.ts),neutral,2.9,1
bark.hex-whisper,line.88fe3776,Sister Ilse,"It’s whispering to him through the tongs — into the lead dish, quickly!",bark (surgery/entities.ts),urgent,3.9,1
bark.hexstone,line.0bfbac1e,Sister Ilse,The hexstone is corrupting the flesh around it — get it out!,bark (surgery/entities.ts),urgent,3.3,1
bark.token-closed,line.067ab77f,Sister Ilse,"It’s in his stomach, Doctor — open him along the line first.",bark (surgery/entities.ts),neutral,3.3,1
bark.barbs,line.42cecd1b,Sister Ilse,Barbed! Nick the flesh at the entry with the lancet before you pull.,bark (surgery/entities.ts),urgent,3.7,1
bark.axis,line.a7123236,Sister Ilse,Pull along the line it went in — you’re tearing the channel!,bark (surgery/entities.ts),urgent,3.3,1
bark.bolt-snap,line.be3e1856,Sister Ilse,"It snapped — the head’s still in there! Ease them out: pull, pause, then draw.",bark (surgery/entities.ts),urgent,4.3,3
bark.glass-slow,line.1c12d284,Sister Ilse,Slowly with glass — it slices as it goes.,bark (surgery/entities.ts),neutral,2.4,1
bark.lead-dish,line.ca00e7ea,Sister Ilse,Not the tray — hexstone goes in the lead dish!,bark (surgery/entities.ts),urgent,2.5,1
bark.fang-crown,line.abfdc250,Sister Ilse,That one was broken — only the crown came. The root’s still in; tongs again.,bark (surgery/entities.ts),neutral,4.2,1
bark.token-out,line.281d4f23,Sister Ilse,A hymn-token — the Choir’s. He swallowed it rather than let the Tribunal find it on him.,bark (surgery/entities.ts),neutral,4.8,1
bark.drop-off,line.495481f3,Sister Ilse,"Right off the body, Doctor — into the tray, or it sinks back in.",bark (surgery/entities.ts),neutral,3.5,1
