op,profile,seed,status,score,rank,time_used,min_vitals,litany
op1-1,farm,6,won,4145,S,13,95,0
op1-1,farm,7,won,4145,S,13,95,0
op1-1,farm,8,won,4145,S,13,95,0
op1-1,farm,9,won,4145,S,13,95,0
op1-1,farm,10,won,4145,S,13,95,0
op1-1,farm,11,won,4145,S,13,95,0
op1-1,farm,12,won,4145,S,13,95,0
op1-1,farm,13,won,4145,S,13,95,0
op1-1,farm,14,won,4145,S,13,95,0
op1-1,farm,15,won,4145,S,13,95,0
op1-1,farm,16,won,4145,S,13,95,0
op1-1,farm,17,won,4145,S,13,95,0
op1-1,farm,18,won,4145,S,13,95,0
op1-1,farm,19,won,4145,S,13,95,0
op1-1,farm,20,won,4145,S,13,95,0
op1-1,sloppy,1,won,4145,S,13,95,0
op1-1,sloppy,2,won,4145,S,13,95,0
op1-1,sloppy,3,won,4145,S,13,95,0
op1-1,sloppy,4,won,4145,S,13,95,0
op1-1,sloppy,5,won,4145,S,13,95,0
op1-1,sloppy,6,won,4145,S,13,95,0
op1-1,sloppy,7,won,4145,S,13,95,0
op1-1,sloppy,8,won,4145,S,13,95,0
op1-1,sloppy,9,won,4145,S,13,95,0
op1-1,sloppy,10,won,4145,S,13,95,0
op1-1,sloppy,11,won,4145,S,13,95,0
op1-1,sloppy,12,won,4145,S,13,95,0
op1-1,sloppy,13,won,4145,S,13,95,0
op1-1,sloppy,14,won,4145,S,13,95,0
op1-1,sloppy,15,won,4145,S,13,95,0
op1-1,sloppy,16,won,4145,S,13,95,0
op1-1,sloppy,17,won,4145,S,13,95,0
op1-1,sloppy,18,won,4145,S,13,95,0
op1-1,sloppy,19,won,4145,S,13,95,0
op1-1,sloppy,20,won,4145,S,13,95,0
op1-2,novice,1,won,4508,S,21,88,0
op1-2,novice,2,won,4508,S,21,88,0
op1-2,novice,3,won,4508,S,21,88,0
op1-2,novice,4,won,4508,S,21,88,0
op1-2,novice,5,won,4508,S,21,88,0
op1-2,novice,6,won,4508,S,21,88,0
op1-2,novice,7,won,4508,S,21,88,0
op1-2,novice,8,won,4508,S,21,88,0
op1-2,novice,9,won,4508,S,21,88,0
op1-2,novice,10,won,4508,S,21,88,0
op1-2,novice,11,won,4508,S,21,88,0
op1-2,novice,12,won,4508,S,21,88,0
op1-2,novice,13,won,4508,S,21,88,0
op1-2,novice,14,won,4508,S,21,88,0
op1-2,novice,15,won,4508,S,21,88,0
op1-2,novice,16,won,4508,S,21,88,0
op1-2,novice,17,won,4508,S,21,88,0
op1-2,novice,18,won,4508,S,21,88,0
op1-2,novice,19,won,4508,S,21,88,0
op1-2,novice,20,won,4508,S,21,88,0
op1-2,steady,1,won,4568,S,17,90,0
op1-2,steady,2,won,4568,S,17,90,0
op1-2,steady,3,won,4568,S,17,90,0
op1-2,steady,4,won,4568,S,17,90,0
op1-2,steady,5,won,4568,S,17,90,0
op1-2,steady,6,won,4568,S,17,90,0
op1-2,steady,7,won,4568,S,17,90,0
op1-2,steady,8,won,4568,S,17,90,0
op1-2,steady,9,won,4568,S,17,90,0
op1-2,steady,10,won,4568,S,17,90,0
op1-2,steady,11,won,4568,S,17,90,0
op1-2,steady,12,won,4568,S,17,90,0
op1-2,steady,13,won,4568,S,17,90,0
op1-2,steady,14,won,4568,S,17,90,0
op1-2,steady,15,won,4568,S,17,90,0
op1-2,steady,16,won,4568,S,17,90,0
op1-2,steady,17,won,4568,S,17,90,0
op1-2,steady,18,won,4568,S,17,90,0
op1-2,steady,19,won,4568,S,17,90,0
op1-2,steady,20,won,4568,S,17,90,0
op1-2,expert,1,won,4618,XS,14,92,0
op1-2,expert,2,won,4618,XS,14,92,0
op1-2,expert,3,won,4618,XS,14,92,0
op1-2,expert,4,won,4618,XS,14,92,0
op1-2,expert,5,won,4618,XS,14,92,0
op1-2,expert,6,won,4618,XS,14,92,0
op1-2,expert,7,won,4618,XS,14,92,0
op1-2,expert,8,won,4618,XS,14,92,0
op1-2,expert,9,won,4618,XS,14,92,0
op1-2,expert,10,won,4618,XS,14,92,0
op1-2,expert,11,won,4618,XS,14,92,0
op1-2,expert,12,won,4618,XS,14,92,0
op1-2,expert,13,won,4618,XS,14,92,0
op1-2,expert,14,won,4618,XS,14,92,0
op1-2,expert,15,won,4618,XS,14,92,0
op1-2,expert,16,won,4618,XS,14,92,0
op1-2,expert,17,won,4618,XS,14,92,0
op1-2,expert,18,won,4618,XS,14,92,0
op1-2,expert,19,won,4618,XS,14,92,0
op1-2,expert,20,won,4618,XS,14,92,0
op1-2,farm,1,won,4568,S,17,90,0
op1-2,farm,2,won,4568,S,17,90,0
op1-2,farm,3,won,4568,S,17,90,0
op1-2,farm,4,won,4568,S,17,90,0
op1-2,farm,5,won,4568,S,17,90,0
op1-2,farm,6,won,4568,S,17,90,0
op1-2,farm,7,won,4568,S,17,90,0
op1-2,farm,8,won,4568,S,17,90,0
op1-2,farm,9,won,4568,S,17,90,0
op1-2,farm,10,won,4568,S,17,90,0
op1-2,farm,11,won,4568,S,17,90,0
op1-2,farm,12,won,4568,S,17,90,0
op1-2,farm,13,won,4568,S,17,90,0
op1-2,farm,14,won,4568,S,17,90,0
op1-2,farm,15,won,4568,S,17,90,0
op1-2,farm,16,won,4568,S,17,90,0
op1-2,farm,17,won,4568,S,17,90,0
op1-2,farm,18,won,4568,S,17,90,0
op1-2,farm,19,won,4568,S,17,90,0
op1-2,farm,20,won,4568,S,17,90,0
op1-2,sloppy,1,won,3558,A,16,51,0
op1-2,sloppy,2,won,3465,B,15,52,0
op1-2,sloppy,3,won,4568,S,17,90,0
op1-2,sloppy,4,won,3465,B,15,52,0
op1-2,sloppy,5,won,3300,B,17,48,0
op1-2,sloppy,6,won,3558,A,16,51,0
op1-2,sloppy,7,won,4568,S,17,90,0
op1-2,sloppy,8,won,4568,S,17,90,0
op1-2,sloppy,9,won,3300,B,17,48,0
op1-2,sloppy,10,won,4568,S,17,90,0
op1-2,sloppy,11,won,4349,A,19,86,0
op1-2,sloppy,12,won,3558,A,16,51,0
op1-2,sloppy,13,won,3465,B,15,52,0
op1-2,sloppy,14,won,4568,S,17,90,0
op1-2,sloppy,15,won,4568,S,17,90,0
op1-2,sloppy,16,won,3558,A,16,51,0
op1-2,sloppy,17,won,4568,S,17,90,0
op1-2,sloppy,18,won,4568,S,17,90,0
op1-2,sloppy,19,won,4568,S,17,90,0
op1-2,sloppy,20,won,3393,B,18,47,0
op1-3,novice,1,won,5679,S,59,34,0
op1-3,novice,2,won,5679,S,59,34,0
op1-3,novice,3,won,5786,S,84,30,0
op1-3,novice,4,won,5364,S,49,35,0
op1-3,novice,5,won,5801,S,61,32,0
op1-3,novice,6,won,5876,S,87,30,0
op1-3,novice,7,won,5936,S,93,30,0
op1-3,novice,8,won,5901,S,87,32,0
op1-3,novice,9,won,5619,S,71,34,0
op1-3,novice,10,won,5876,S,87,29,0
op1-3,novice,11,won,5901,S,87,32,0
op1-3,novice,12,won,5689,S,58,35,0
op1-3,novice,13,won,5876,S,87,30,0
op1-3,novice,14,won,5364,S,49,35,0
op1-3,novice,15,won,5344,S,49,35,0
op1-3,novice,16,won,5749,S,62,34,0
op1-3,novice,17,won,5749,S,62,34,0
op1-3,novice,18,won,5679,S,59,34,0
op1-3,novice,19,won,5514,S,54,35,0
op1-3,novice,20,won,5374,S,48,36,0
op1-3,steady,1,won,5761,S,42,35,0
op1-3,steady,2,won,5841,S,44,35,0
op1-3,steady,3,won,6138,S,66,35,0
op1-3,steady,4,won,5480,S,36,41,0
op1-3,steady,5,won,6138,S,66,34,0
op1-3,steady,6,won,6178,S,52,34,0
op1-3,steady,7,won,6178,S,52,35,0
op1-3,steady,8,won,6178,S,52,34,0
op1-3,steady,9,won,5841,S,44,35,0
op1-3,steady,10,won,6208,S,69,34,0
op1-3,steady,11,won,6248,S,55,34,0
op1-3,steady,12,won,5941,S,46,36,0
op1-3,steady,13,won,6178,S,52,34,0
op1-3,steady,14,won,5480,S,36,41,0
op1-3,steady,15,won,5480,S,36,40,0
op1-3,steady,16,won,5841,S,44,35,0
op1-3,steady,17,won,6021,S,48,36,0
op1-3,steady,18,won,5911,S,47,35,0
op1-3,steady,19,won,5685,S,42,37,0
op1-3,steady,20,won,5490,S,35,41,0
op1-3,expert,1,won,6109,XS,33,56,0
op1-3,expert,2,won,6229,XS,35,56,0
op1-3,expert,3,won,6576,XS,42,55,0
op1-3,expert,4,won,5867,XS,30,58,0
op1-3,expert,5,won,6476,XS,40,55,0
op1-3,expert,6,won,6686,XS,43,55,0
op1-3,expert,7,won,6666,XS,43,55,0
op1-3,expert,8,won,6656,XS,44,55,0
op1-3,expert,9,won,6189,XS,35,57,0
op1-3,expert,10,won,6656,XS,44,55,0
op1-3,expert,11,won,6656,XS,44,55,0
op1-3,expert,12,won,6339,XS,38,57,0
op1-3,expert,13,won,6656,XS,44,55,0
op1-3,expert,14,won,5867,XS,30,58,0
op1-3,expert,15,won,5867,XS,30,57,0
op1-3,expert,16,won,6339,XS,38,56,0
op1-3,expert,17,won,6429,XS,41,57,0
op1-3,expert,18,won,6329,XS,39,56,0
op1-3,expert,19,won,6057,XS,33,57,0
op1-3,expert,20,won,5877,XS,29,58,0
op1-3,farm,1,won,5761,S,42,35,0
op1-3,farm,2,won,5841,S,44,35,0
op1-3,farm,3,won,6138,S,66,35,0
op1-3,farm,4,won,5480,S,36,41,0
op1-3,farm,5,won,6138,S,66,34,0
op1-3,farm,6,won,6178,S,52,34,0
op1-3,farm,7,won,6178,S,52,35,0
op1-3,farm,8,won,6178,S,52,34,0
op1-3,farm,9,won,5841,S,44,35,0
op1-3,farm,10,won,6208,S,69,34,0
op1-3,farm,11,won,6248,S,55,34,0
op1-3,farm,12,won,5941,S,46,36,0
op1-3,farm,13,won,6178,S,52,34,0
op1-3,farm,14,won,5480,S,36,41,0
op1-3,farm,15,won,5480,S,36,40,0
op1-3,farm,16,won,5841,S,44,35,0
op1-3,farm,17,won,6021,S,48,36,0
op1-3,farm,18,won,5911,S,47,35,0
op1-3,farm,19,won,5685,S,42,37,0
op1-3,farm,20,won,5490,S,35,41,0
op1-3,sloppy,1,won,5761,S,42,35,0
op1-3,sloppy,2,won,5841,S,44,35,0
op1-3,sloppy,3,won,6138,S,66,35,0
op1-3,sloppy,4,won,5480,S,36,41,0
op1-3,sloppy,5,won,6138,S,66,34,0
op1-3,sloppy,6,won,6178,S,52,34,0
op1-3,sloppy,7,won,6178,S,52,35,0
op1-3,sloppy,8,won,6178,S,52,34,0
op1-3,sloppy,9,won,5841,S,44,35,0
op1-3,sloppy,10,won,6208,S,69,34,0
op1-3,sloppy,11,won,6248,S,55,34,0
op1-3,sloppy,12,won,5941,S,46,36,0
op1-3,sloppy,13,won,6178,S,52,34,0
op1-3,sloppy,14,won,5480,S,36,41,0
op1-3,sloppy,15,won,5480,S,36,40,0
op1-3,sloppy,16,won,5841,S,44,35,0
op1-3,sloppy,17,won,6021,S,48,36,0
op1-3,sloppy,18,won,5911,S,47,35,0
op1-3,sloppy,19,won,5685,S,42,37,0
op1-3,sloppy,20,won,5490,S,35,41,0
op1-4,novice,1,won,5885,S,45,69,0
op1-4,novice,2,won,5885,S,45,69,0
op1-4,novice,3,won,5885,S,45,69,0
op1-4,novice,4,won,5885,S,45,69,0
op1-4,novice,5,won,5885,S,45,69,0
op1-4,novice,6,won,5885,S,45,69,0
op1-4,novice,7,won,5885,S,45,69,0
op1-4,novice,8,won,5885,S,45,69,0
op1-4,novice,9,won,5885,S,45,69,0
op1-4,novice,10,won,5885,S,45,69,0
op1-4,novice,11,won,5885,S,45,69,0
op1-4,novice,12,won,5885,S,45,69,0
op1-4,novice,13,won,5885,S,45,69,0
op1-4,novice,14,won,5885,S,45,69,0
op1-4,novice,15,won,5885,S,45,69,0
op1-4,novice,16,won,5885,S,45,69,0
op1-4,novice,17,won,5945,S,43,72,0
op1-4,novice,18,won,5885,S,45,69,0
op1-4,novice,19,won,5885,S,45,69,0
op1-4,novice,20,won,5885,S,45,69,0
op1-4,steady,1,won,6055,S,36,76,0
op1-4,steady,2,won,6055,S,36,76,0
op1-4,steady,3,won,6055,S,36,76,0
op1-4,steady,4,won,6055,S,36,76,0
op1-4,steady,5,won,6055,S,36,76,0
op1-4,steady,6,won,6055,S,36,76,0
op1-4,steady,7,won,6055,S,36,76,0
op1-4,steady,8,won,6055,S,36,76,0
op1-4,steady,9,won,6055,S,36,76,0
op1-4,steady,10,won,6055,S,36,76,0
op1-4,steady,11,won,6055,S,36,76,0
op1-4,steady,12,won,6055,S,36,76,0
op1-4,steady,13,won,6055,S,36,76,0
op1-4,steady,14,won,6055,S,36,76,0
op1-4,steady,15,won,6055,S,36,76,0
op1-4,steady,16,won,6055,S,36,76,0
op1-4,steady,17,won,6055,S,36,76,0
op1-4,steady,18,won,6055,S,36,76,0
op1-4,steady,19,won,6055,S,36,76,0
op1-4,steady,20,won,6055,S,36,76,0
op1-4,expert,1,won,6195,XS,28,82,0
op1-4,expert,2,won,6195,XS,28,82,0
op1-4,expert,3,won,6195,XS,28,82,0
op1-4,expert,4,won,6195,XS,28,82,0
op1-4,expert,5,won,6195,XS,28,82,0
op1-4,expert,6,won,6195,XS,28,82,0
op1-4,expert,7,won,6195,XS,28,82,0
op1-4,expert,8,won,6195,XS,28,82,0
op1-4,expert,9,won,6195,XS,28,82,0
op1-4,expert,10,won,6195,XS,28,82,0
op1-4,expert,11,won,6195,XS,28,82,0
op1-4,expert,12,won,6195,XS,28,82,0
op1-4,expert,13,won,6195,XS,28,82,0
op1-4,expert,14,won,6195,XS,28,82,0
op1-4,expert,15,won,6195,XS,28,82,0
op1-4,expert,16,won,6195,XS,28,82,0
op1-4,expert,17,won,6195,XS,28,82,0
op1-4,expert,18,won,6195,XS,28,82,0
op1-4,expert,19,won,6195,XS,28,82,0
op1-4,expert,20,won,6195,XS,28,82,0
op1-4,farm,1,won,6055,S,36,76,0
op1-4,farm,2,won,6055,S,36,76,0
op1-4,farm,3,won,6055,S,36,76,0
op1-4,farm,4,won,6055,S,36,76,0
op1-4,farm,5,won,6055,S,36,76,0
op1-4,farm,6,won,6055,S,36,76,0
op1-4,farm,7,won,6055,S,36,76,0
op1-4,farm,8,won,6055,S,36,76,0
op1-4,farm,9,won,6055,S,36,76,0
op1-4,farm,10,won,6055,S,36,76,0
op1-4,farm,11,won,6055,S,36,76,0
op1-4,farm,12,won,6055,S,36,76,0
op1-4,farm,13,won,6055,S,36,76,0
op1-4,farm,14,won,6055,S,36,76,0
op1-4,farm,15,won,6055,S,36,76,0
op1-4,farm,16,won,6055,S,36,76,0
op1-4,farm,17,won,6055,S,36,76,0
op1-4,farm,18,won,6055,S,36,76,0
op1-4,farm,19,won,6055,S,36,76,0
op1-4,farm,20,won,6055,S,36,76,0
op1-4,sloppy,1,won,5832,S,37,75,0
op1-4,sloppy,2,won,5762,A,39,73,0
op1-4,sloppy,3,won,6015,S,38,74,0
op1-4,sloppy,4,won,5891,S,37,75,0
op1-4,sloppy,5,won,6025,S,37,74,0
op1-4,sloppy,6,won,5832,S,37,75,0
op1-4,sloppy,7,won,6055,S,36,76,0
op1-4,sloppy,8,won,6055,S,36,76,0
op1-4,sloppy,9,won,5861,S,38,74,0
op1-4,sloppy,10,won,5792,A,38,74,0
op1-4,sloppy,11,won,6055,S,36,76,0
op1-4,sloppy,12,won,5832,S,37,75,0
op1-4,sloppy,13,won,5841,S,38,73,0
op1-4,sloppy,14,won,6055,S,36,76,0
op1-4,sloppy,15,won,5822,S,37,75,0
op1-4,sloppy,16,won,5657,A,40,72,0
op1-4,sloppy,17,won,6045,S,37,75,0
op1-4,sloppy,18,won,6045,S,37,75,0
op1-4,sloppy,19,won,6055,S,36,76,0
op1-4,sloppy,20,won,5792,A,38,73,0
op1-5,novice,1,won,3978,A,182,33,1
op1-5,novice,2,won,3935,A,188,34,1
op1-5,novice,3,won,3985,A,184,34,1
op1-5,novice,4,won,3912,A,191,34,1
op1-5,novice,5,won,3987,A,181,35,1
op1-5,novice,6,won,3986,A,182,27,1
op1-5,novice,7,won,3977,A,183,31,1
op1-5,novice,8,won,3962,A,183,33,1
op1-5,novice,9,won,3872,A,189,31,1
op1-5,novice,10,won,3745,A,201,10,1
op1-5,novice,11,won,4029,A,180,30,1
op1-5,novice,12,won,3916,A,189,34,1
op1-5,novice,13,won,3938,A,188,34,1
op1-5,novice,14,won,3925,A,187,34,1
op1-5,novice,15,won,3909,A,189,33,1
op1-5,novice,16,won,3907,A,189,32,1
op1-5,novice,17,won,3979,A,184,31,1
op1-5,novice,18,won,3968,A,183,32,1
op1-5,novice,19,won,3950,A,188,33,1
op1-5,novice,20,won,3946,A,188,33,1
op1-5,steady,1,won,4242,S,152,35,1
op1-5,steady,2,won,4324,S,148,34,1
op1-5,steady,3,won,4330,S,147,35,1
op1-5,steady,4,won,4302,S,146,33,1
op1-5,steady,5,won,4166,S,161,32,1
op1-5,steady,6,won,4340,S,147,35,1
op1-5,steady,7,won,4169,S,163,30,1
op1-5,steady,8,won,4171,S,161,31,1
op1-5,steady,9,won,4322,S,146,34,1
op1-5,steady,10,won,4296,S,148,32,1
op1-5,steady,11,won,4287,S,152,35,1
op1-5,steady,12,won,4297,S,146,32,1
op1-5,steady,13,won,4289,S,151,35,1
op1-5,steady,14,won,4287,S,152,36,1
op1-5,steady,15,won,4306,S,149,33,1
op1-5,steady,16,won,4321,S,147,27,1
op1-5,steady,17,won,4316,S,148,35,1
op1-5,steady,18,won,4170,S,163,30,1
op1-5,steady,19,won,4254,S,153,35,1
op1-5,steady,20,won,4275,S,152,35,1
op1-5,expert,1,won,4756,XS,136,58,1
op1-5,expert,2,won,4712,XS,136,53,1
op1-5,expert,3,won,4723,XS,136,53,1
op1-5,expert,4,won,4710,XS,135,53,1
op1-5,expert,5,won,4697,XS,136,54,1
op1-5,expert,6,won,4729,XS,135,53,1
op1-5,expert,7,won,4718,XS,136,55,1
op1-5,expert,8,won,4727,XS,135,54,1
op1-5,expert,9,won,4714,XS,136,54,1
op1-5,expert,10,won,4712,XS,136,54,1
op1-5,expert,11,won,4712,XS,136,54,1
op1-5,expert,12,won,4742,XS,135,53,1
op1-5,expert,13,won,4721,XS,135,53,1
op1-5,expert,14,won,4732,XS,135,54,1
op1-5,expert,15,won,4724,XS,136,53,1
op1-5,expert,16,won,4730,XS,135,54,1
op1-5,expert,17,won,4721,XS,136,54,1
op1-5,expert,18,won,4718,XS,136,55,1
op1-5,expert,19,won,4708,XS,135,54,1
op1-5,expert,20,won,4705,XS,136,53,1
op1-5,farm,1,won,3249,B,267,32,1
op1-5,farm,2,won,3280,A,265,35,1
op1-5,farm,3,won,3279,B,264,34,1
op1-5,farm,4,won,3283,A,264,33,1
op1-5,farm,5,won,3286,A,265,33,1
op1-5,farm,6,won,3254,B,265,34,1
op1-5,farm,7,won,3107,B,285,17,1
op1-5,farm,8,won,3186,B,275,35,1
op1-5,farm,9,won,3278,B,264,34,1
op1-5,farm,10,won,3256,B,269,33,1
op1-5,farm,11,won,3243,B,269,32,1
op1-5,farm,12,won,3248,B,267,34,1
op1-5,farm,13,won,3286,A,263,33,1
op1-5,farm,14,won,3217,B,266,34,1
op1-5,farm,15,won,3283,A,264,33,1
op1-5,farm,16,won,3239,B,270,34,1
op1-5,farm,17,won,3254,B,269,33,1
op1-5,farm,18,won,3268,B,264,34,1
op1-5,farm,19,won,3251,B,268,32,1
op1-5,farm,20,won,3143,B,284,31,1
op1-5,sloppy,1,won,4242,S,152,35,1
op1-5,sloppy,2,won,4324,S,148,34,1
op1-5,sloppy,3,won,4330,S,147,35,1
op1-5,sloppy,4,won,4302,S,146,33,1
op1-5,sloppy,5,won,4166,S,161,32,1
op1-5,sloppy,6,won,4340,S,147,35,1
op1-5,sloppy,7,won,4169,S,163,30,1
op1-5,sloppy,8,won,4171,S,161,31,1
op1-5,sloppy,9,won,4322,S,146,34,1
op1-5,sloppy,10,won,4296,S,148,32,1
op1-5,sloppy,11,won,4287,S,152,35,1
op1-5,sloppy,12,won,4297,S,146,32,1
op1-5,sloppy,13,won,4289,S,151,35,1
op1-5,sloppy,14,won,4287,S,152,36,1
op1-5,sloppy,15,won,4306,S,149,33,1
op1-5,sloppy,16,won,4321,S,147,27,1
op1-5,sloppy,17,won,4316,S,148,35,1
op1-5,sloppy,18,won,4170,S,163,30,1
op1-5,sloppy,19,won,4254,S,153,35,1
op1-5,sloppy,20,won,4275,S,152,35,1
op2-1,novice,1,won,4812,A,37,51,0
op2-1,novice,2,won,4767,A,49,36,0
op2-1,novice,3,won,4812,A,37,51,0
op2-1,novice,4,won,4812,A,37,51,0
op2-1,novice,5,won,4812,A,37,51,0
op2-1,novice,6,won,4767,A,49,36,0
op2-1,novice,7,won,4767,A,49,36,0
op2-1,novice,8,won,4687,A,42,46,0
op2-1,novice,9,won,4767,A,49,36,0
op2-1,novice,10,won,4812,A,37,51,0
op2-1,novice,11,won,4767,A,49,36,0
op2-1,novice,12,won,4713,A,51,33,0
op2-1,novice,13,won,4767,A,49,36,0
op2-1,novice,14,won,4690,A,42,43,0
op2-1,novice,15,won,4802,A,47,37,0
op2-1,novice,16,won,4767,A,49,36,0
op2-1,novice,17,won,4713,A,51,33,0
op2-1,novice,18,won,4687,A,42,46,0
op2-1,novice,19,won,4812,A,37,51,0
op2-1,novice,20,won,4767,A,49,36,0
op2-1,steady,1,won,5038,S,30,62,0
op2-1,steady,2,won,5129,S,35,52,0
op2-1,steady,3,won,5038,S,30,62,0
op2-1,steady,4,won,4976,S,33,57,0
op2-1,steady,5,won,5038,S,30,62,0
op2-1,steady,6,won,5129,S,35,52,0
op2-1,steady,7,won,5057,S,39,47,0
op2-1,steady,8,won,5038,S,30,63,0
op2-1,steady,9,won,5129,S,35,52,0
op2-1,steady,10,won,4976,S,33,57,0
op2-1,steady,11,won,5129,S,35,52,0
op2-1,steady,12,won,5129,S,35,52,0
op2-1,steady,13,won,5129,S,35,52,0
op2-1,steady,14,won,5038,S,30,62,0
op2-1,steady,15,won,5129,S,35,52,0
op2-1,steady,16,won,5129,S,35,52,0
op2-1,steady,17,won,5129,S,35,52,0
op2-1,steady,18,won,5038,S,30,62,0
op2-1,steady,19,won,5038,S,30,62,0
op2-1,steady,20,won,5057,S,39,47,0
op2-1,expert,1,won,5170,XS,25,71,0
op2-1,expert,2,won,5323,XS,28,65,0
op2-1,expert,3,won,5170,XS,25,71,0
op2-1,expert,4,won,5170,XS,25,71,0
op2-1,expert,5,won,5170,XS,25,71,0
op2-1,expert,6,won,5323,XS,28,65,0
op2-1,expert,7,won,5323,XS,28,65,0
op2-1,expert,8,won,5170,XS,25,71,0
op2-1,expert,9,won,5323,XS,28,65,0
op2-1,expert,10,won,5170,XS,25,71,0
op2-1,expert,11,won,5323,XS,28,65,0
op2-1,expert,12,won,5323,XS,28,65,0
op2-1,expert,13,won,5323,XS,28,65,0
op2-1,expert,14,won,5170,XS,25,71,0
op2-1,expert,15,won,5323,XS,28,65,0
op2-1,expert,16,won,5323,XS,28,65,0
op2-1,expert,17,won,5323,XS,28,65,0
op2-1,expert,18,won,5170,XS,25,71,0
op2-1,expert,19,won,5170,XS,25,71,0
op2-1,expert,20,won,5323,XS,28,65,0
op2-1,farm,1,won,5038,S,30,62,0
op2-1,farm,2,won,5129,S,35,52,0
op2-1,farm,3,won,5038,S,30,62,0
op2-1,farm,4,won,4976,S,33,57,0
op2-1,farm,5,won,5038,S,30,62,0
op2-1,farm,6,won,5129,S,35,52,0
op2-1,farm,7,won,5057,S,39,47,0
op2-1,farm,8,won,5038,S,30,63,0
op2-1,farm,9,won,5129,S,35,52,0
op2-1,farm,10,won,4976,S,33,57,0
op2-1,farm,11,won,5129,S,35,52,0
op2-1,farm,12,won,5129,S,35,52,0
op2-1,farm,13,won,5129,S,35,52,0
op2-1,farm,14,won,5038,S,30,62,0
op2-1,farm,15,won,5129,S,35,52,0
op2-1,farm,16,won,5129,S,35,52,0
op2-1,farm,17,won,5129,S,35,52,0
op2-1,farm,18,won,5038,S,30,62,0
op2-1,farm,19,won,5038,S,30,62,0
op2-1,farm,20,won,5057,S,39,47,0
op2-1,sloppy,1,won,5038,S,30,62,0
op2-1,sloppy,2,won,5129,S,35,52,0
op2-1,sloppy,3,won,5038,S,30,62,0
op2-1,sloppy,4,won,4976,S,33,57,0
op2-1,sloppy,5,won,5038,S,30,62,0
op2-1,sloppy,6,won,5129,S,35,52,0
op2-1,sloppy,7,won,5057,S,39,47,0
op2-1,sloppy,8,won,5038,S,30,63,0
op2-1,sloppy,9,won,5129,S,35,52,0
op2-1,sloppy,10,won,4976,S,33,57,0
op2-1,sloppy,11,won,5129,S,35,52,0
